incoming,text
"Say nothing at all.","Markie sighs. The four of you trek on in silence until you reach the crater. You approach the edge and look down into the abyss. The area of impact stretches for miles.\n\n""I don’t even see a fucking twig, man,"" Meat says.\n\n""It’s been over a hundred years since the impact. I think all you’re going find is dirt down there,"" Markie replies.\n\n""Don’t forget the radiation,"" Ryan says, kicking a pebble over the edge.\n\n""That too.""\n\nMarkie peers down. ""Zoom,"" she says. You hear the computer inside her helmet respond in affirmation to the command.\n\n""You gonna get that girl of yours a rock from the surface?"" Ryan asks Meat. ""I hear people used to go crazy over moon rocks after the Apollo landings. Might make a punny engagement ring, y’ know? Girls go for that sort of thing.""\n\nMeat grunts. ""Not my woman. She’s endowed, but it ain’t with brains. The humor would, uh, escape her.""\n\n""And the radiation,"" Markie points out.\n\n""Stupid radiation. Ruining everything,"" Ryan says.\n\n""Hmm. That’s interesting,"" Markie says—it’s almost a whisper.\n\n1. [[""Well, out with it Mark. What is it?""]]\n2.[[Let someone else ask.]]\n"
"Say nothing; give the walkie to Meat.","Meat takes the walkie from you. ""Doc,"" he says.\n\n""Please hurry,"" she begs. ""We’re in the cockpit.""\n\n""Hustle people,"" Meat says, breaking out into a sprint. \n\nYou and Neil follow. \n\nYou keep an eye out for Markie, but, thankfully, she never exploits your panic. When you reach the bend before the cockpit, Meat slows down and raises his hand for you to stop. You do so and listen. Just out of sight, you can hear something cracking.\n\nMeat steps out of the corner. You and Neil join him, your pistol raised in the direction of the cockpit. There, covered in red and yellow grime, his back to you, is Ben biting into Salvucci’s leg and tearing away flesh and muscle.  Salvucci is against the cockpit’s door, either unconscious or dead. Blood trickles from his forehead. A crowbar is next to his body.\n\nMeat aims down the sight and breathes hard.\n\n""Conserve the ammo,"" Neil says.\n\nMeat gently tugs the trigger. A round slams into Ben’s neck; the creature masquerading in your crewmate’s skin whirls around and slams into the wall. It hisses and stands up. What was once Ben’s youthful face glares at you.\n\nThe thing takes a step forward.\n\nMeat fires another two shots that slam into its chest. Ben is knocked back, but he recovers quickly, taking another step toward you. And then another. He’s closing in.\n\n""Well don’t just stand there—shoot him!""\n\nYou aim down the sight.\n\n1.\t[[Fire the gun.]]\n"
"Remain silent and keep your hand over the tear in her suit.","Above you you hear the roar of the Speedwell's thruster as the ship lands. The sound frightens the fungal crabs back into their home.\n\nYou and Meat help Markie to the ship’s elevator. Meat enters a combination on the keypad and the door slides open.  Inside the elevator, as you ride up, all three of you remove your helmets. You notice for the first time that your face is drenched in sweat.\n\nA ding. The door opens. Captain Jonas Salvucci, an older, muscular man with little patience for tomfoolery, awaits you—his hand wrapped around the pistol in his holster.\n\nHe takes his hand away from the gun when he sees there’s no threat.\n\n""Get her to sickbay.""\n\nYou nod and help Markie through the hallway of the ship. She's delirious now, stumbling. Behind you, you can hear Salvucci interrogating Meat.\n\n""What happened to Ryan?""\n\n""I dunno. I think the blood on Markie's suit isn't all hers, though.""\n\n""Damn it, Travis. What did you find down there?""\n\nWhen you get to sickbay, both Lenore Strauss, the doctor, and her geeky assistant Ben are prepping the examination table.\n\n""Where’s she wounded?"" Lenore asks, as you help a woozy Markie out of her suit.  You glare at Ben as he gawks at her well-toned body. He smiles sheepishly and looks away, cheeks burning red with shame. Markie’s drenched in sweat; she looks around wildly while Lenore straps her in. She examines the bite; it’s just above the elbow, an inflamed bulging of the skin.\n\n""And I was young and we were running,"" Markie rambles, ""eyes bouncing up and down the shore while the sun cooked the corpses of washed up jellyfish.""\n\nYou turn to Lenore; she’s prepping some kind of tool.\n\n1.[[""What’s she saying?""]]\n2.[[""What is that?""]]"
"""Someone dropped you on your head when you were an infant, didn't they?""","""It doesn’t work like that, Ryan. I’m reading at least seven tunnels, carved out exactly the same size.""\n\n""Meaning what?""\n\n""There might be something down there.""\n\n""Spooky,"" Meat says, peering through the scope of his rifle at the expanse of the crater.\n\n1.[[""We should check it out.""]]\n2.[[""Yeah, no, fuck that.""]]\n3. [[Wait in silence.]]"
"Stay silent and keep your hand over the tear in her suit.","Above you you hear the roar of the Speedwell's thruster as the ship lands. The sound frightens the fungal crabs back into their home.\n\nYou and Meat help Markie to the ship’s elevator. Meat enters a combination on the keypad and the door slides open.  Inside the elevator, as you ride up, all three of you remove your helmets. You notice for the first time that your face is drenched in sweat.\n\nA ding. The door opens. Captain Jonas Salvucci, an older, muscular man with little patience of tomfoolery, awaits you—his hand wrapped around the pistol in his holster.\nHe takes his hand away from the gun when he sees there’s no threat.\n\n""Get her to sickbay.""\n\nYou nod and help Markie through the hallway of the ship. She's delerious now, stumbling. Behind you, you can hear Salvucci interrogating Meat.\n\n""What happened to Ryan?""\n\n""I dunno. I think the blood on Markie's suit isn't all hers, though.""\n\n""Damn it, Travis. What did you find down there?""\n\nWhen you get to sickbay, both Lenore Strauss, the doctor, and her geeky assistant Ben are prepping the examination table.\n\n""Where’s she wounded?"" Lenore asks, as you help a woozy Markie out of her suit.  You glare at Ben as he gawks at her well-toned body. He smiles sheepishly and looks away, cheeks burning red with shame. Markie’s drenched in sweat; she stares around wildly as Lenore straps her in. She examines the bite; it’s just above the elbow, an inflamed bulging of the skin.\n\n""And I was young and we were running,"" Markie rambles, ""eyes bouncing up and down the shore  while the sun cooked the corpses of washed up jellyfish.""\n\nYou turn to Lenore, who’s prepping some kind of tool.\n\n1. [[""What the hell is she saying?""]]"
"""Lenore.""","""I found out what the first symptom is. It's fear. I woke up and I could feel the disease incubating in my body. I started to cry only to discover my tears were blood,"" she says, turning to face you. \n\nHer cheeks are red with the blood flowing from her eyes.\n\n""I killed him out of fear, fear that you would all turn on me.  I was going to go back and do the same to you, and then to the others, but, well, what's the point? We're all gonna die in the end anyway,"" she says, sobbing. ""God, we're all going to die. Slowly. Bleeding out of our orifices. I did Travis a favor really."" She looks you directly in your eyes.\n\n""Please kill me. I don't want to die like Markie did. Please.""\n\nShe nods at your pistol.\n\n1. [[Shoot her.]]\n2.[[""Do it yourself.""]]\n "
"""Keep one bullet in the chamber for yourself...just in case.""","""Way to be an optimist, Julia,"" Meat says, clearly disapproving.\n\n""No, it's okay,"" she says, nodding. ""It's good advice."" She walks out the door and stars running. She screams ""Help!""\n\n""Five minutes,""  Salvucci says. ""That's all we give her.""\n\nMeat nods. Her footsteps (and screams) trail away.\n\nAfter three minutes, Salvucci says ""She's had enough time. Let's go.""\n\nThe three of you run down the hall to sickbay. She's inside, screwing a hose into a black machine in the corner of the room. She looks up. ""I told you to give me mor--""\n\nShe's interrupted by Markie's descent from the ventilation shaft onto the examination table. She growls at all of you. A giant purple claw has sprouted out of her missing arm. The other arm is rotting, like the rest of her body.\n\n""Prettyprettyprettypretty.""\n\nOut of the corner of your eye, you see the cauterizing saw on the table next to the bed. \n\n1. [[Use the saw.]]\n2. [[Use your gun.]]"
"Talk to Meat and Neil","You approach the table. Neil takes one of Meat’s checkers.\n\nThey look up at you.\n\n""Thought we’d see a lot of boring shit on this trip, didn’t expect to run into a fucking alien,"" Meat says.\n\n""Is it an alien, though? I mean, maybe it’s just something that’s been in the Earth the entire time?""\n\n""Shut up, Neil. You know what I meant.""\n\n""Hey, I’m just saying that maybe we should be a little more careful about the terms we’re throwing around, y’know, for science?""\n\n""Just play the damn game. "" He turns to you. ""How are you holding up, Julia?""\n\n1.[[""I’m good.""]]\n2.[[""Could be better.""]]\n"
"""Well, out with it Mark. What is it?""","""There are tunnels.""\n\nRyan turns. ""Come again?""\n\n""Tunnels. In the crater. The last reconnaissance team didn’t say anything about tunnels in their report.""\n\n""How long ago was that?""\n\n""Seven years. Give or take a month.""\n\n""Erosion. Boom,"" Ryan says.\n\n1.[[""Someone dropped you on your head when you were an infant, didn't they?""]]\n2.[[""Uh...""]]\n"
"Pick up the walkie","You pick up the walkie. Meat takes it.  ""Neil, are you okay?""\n\n""She’s fucking here, guys. Oh Jesus, she reeks.""\n\n""Sit tight,"" Meat says. He nods at you. Both of you creep to the door. Meat pushes it open slightly and peers out. You look out as well.\n\nNeil is backing into a wall, face red and dripping with perspiration. Several feet away is Markie. You can smell her from here, but that’s not what’s making you struggle not to gag. Her face is a jagged piece of flesh hanging from her skull, her sockets void of eyeballs.\n\n""Stay away from me,"" Neil begs.\n\nIt lumbers toward the pilot, groaning. Several teeth fall to the ground in a mixture of salvia and blood.\n\n""Now,"" Meat says.\n\nThe two of you emerge from the kitchen. Markie doesn’t even have time to turn her head before machinegun fire rips the neck from her body and her head tumbles to the floor, smashing to the ground like a pumpkin.\n\nMeat opens his mouth to let loose a witty remark, but vomit emerges. You’re not far behind, the smell finally having gotten the best of you.  Luckily, there’s not much for you and your partner to barf up.\n\n""Oh godfuckingshit,"" Neil yells. ""That was Markie.""\n\nStrauss emerges from the kitchen, a napkin over her mouth and nose. She takes one glance and then looks away.\n\n""So, we like win now, right? They’re all dead?""\n\n""Yeah, I think—""\n\nMeat is cut off by the sound of Markie’s hand slapping the floor as the body convulses, pus and blood shooting from the decimated neck stump. He fires the rest of the clip into the corpse.\n\n1. [[Shoot.]]\n2. [[Run.]]\n\n"
