"""Let’s kill it.""","Meat nods. ""Better than waiting around to die, I suppose.""\n\nSalvucci’s demeanor doesn’t shift. ""If we’re going to do this, we need to have a plan. How many guns do we have?""\n\nYou all lay out your firearms on one of the tables: one assault rifle with two clips, three pistols with 18 rounds each. In total, you have 94 rounds. You also have a Molotov cocktail, courtesy of Meat.\n\n""Is that it?"" says Salvucci.\n\nMeat can’t hide his annoyance. ""What do you mean ‘is that it?’ We have enough here to kill that thing fifty times over. Sorry, captain,"" he adds quickly.\n\nSalvucci doesn’t bother acknowledging the disrespect ""All right, tactics time. Everyone knows the layout of the ship, correct?""\n\n""Two main hallways. Left connects to crew quarters, common room, cafeteria, engineering, cryoroom, and bathrooms. The other leads to sickbay, cockpit, and the hanger,"" Strauss says quickly.\n\n""Pfft. Hanger, if you can call it that,"" Neil says. ""It’s barely big enough to fit our droids.""\n\n""Is that really appropriate right now?"" Strauss says.\n\n""I’m just sayin’.""\n\n""The big question, then, is how we’re dividing teams.""\n\n""I’m with Meat,"" Neil says quickly, eyeing the assault rifle.\n\nStrauss rolls her eyes.\n\n""What? I called dibs.""\n\n""Okay, so that puts Meat and Neil together. Julia, you go with them too. Doctor Strauss and I will take the right hallway.""\n\n1. [[Go with Meat and Neil.]]\n\n\n\n"
"Shoot her down.","You shoot her in the face. Her corpse falls back onto the floor and is still.\n\nMoments later both Neil and Salvucci burst through the door. They see the corpse. Salvucci has his hand in his gun.\n\nNeil speaks first: ""What happened?""\n\n1.[[""She was infected. She killed Meat out of cowardice.""]]\n2. [[Take no chances: kill both of them.]]"
"""I’ve got at least two bullets left.""","""I'm not ready to call it quits yet. There's got to be a way to kill that thing without guns.""\n\n1.[[""Okay, what about the hanger?""]]\n\n"
"Ask her for her name.","""I'll do you one better,"" she says. She writes down her number on the back of an index card and places it on the table next to your bed. ""Give me a call sometime and I'll tell you my name,"" she says, flashing that white smile.\n\nMeat is the one who picks you up from the hospital and drives you home.\n\n""That's pretty badass,"" he says, nodding toward your augmented hand. ""Can you, like, crush steel and shit?""\n\n1. [[""I wish.""]]\n"
"Go for his gun.","He approaches. You reach for his gun, swifter than you thought you could be, and pull it from his holster.\n\n""Julia, what the--"" His cry of surprise is cut off mid-blast as a shot to the chest robs him of his life and knocks him off his feet.\n\nHis dead eyes stare at the ceiling.\n\nNow, the voice says, the other two.\n\n1. [[Search for Neil.]]"
"""You did.""","""I know. It's my weight to bear, I suppose.""\n\nYou sip your drinks without another word until it's time to go. The cabbie takes you home first.\n\n""Julia,"" Strauss says. ""Take care, okay?""\n\n1. [[""Thanks, doc.""]]\n2. [[""I will.""]]"
"""You do as well.""","You watch as Meat staggers out of the bar, hoping he calls a cab. You wait ten more minutes to avoid any awkward post-goodbye goodbyes and then stumble outside yourself.\n\nA cab picks you up and takes you to your little house in the Martian suburbs.  You pay the cabbie and walk past your box—you’ll get the mail later—and inside your home.\n\nThe door slides shut. And that’s when you fall apart. You crumble to the floor and bawl yourself to sleep. You wake up in the night only to cry yourself asleep again.\n\nWhen you wake up again, you want to believe it’s a new day but you can still feel the weight of the dead on your shoulders. It’s a weight you never learn to completely shake, but you grow accustomed to it: the night terrors, the sudden flashes of Ben dying in agony.\n\nMeat’s friendship and an ungodly amount of therapy help you get through the trauma, as does Jack, the man who becomes your husband. The military sticks you with an analyst position, something you’re quite fine with, though it is boring work.\n\nYou grow older. You and Jack talk about having kids.\n\n1. [[You have kids.]]\n2. [[You don't have kids.]]\n"
"""We should wait it out.""","""Ugh. You too?"" Meat groans.\n\n""We're going to regret this,"" Strauss says.\n\nSalvucci shakes his head. ""We'll be fine. Strength in numbers. As long as we stick together, we won't lose anymore people.""\n\nThe four of you decide to stick it out in the mess hall. Meat, you, and Salvucci take turns keeping an eye on the door for Markie. Strauss rations the food that comes out of the pantry...including your chips. You try not to hold it against her.\n\nA week passes. No sight of the creature yet.\n\n""Nice beard you've gotten going on there, Neil,"" Meat tells the pilot, who's been cultivating uneven patches of facial hair.\n\n""Bite me, big man.""\n\nYou're in the middle of biting into the last half of your final soy cookie when you hear the sound in the vent--it's a squishy sound.\n\n""You heard it too,"" Meat says, standing up and pointing his rifle at the vent.\n\nSomething starts to hammer at the vent cover.\n\n""It's her!"" Salvucci yells. ""Fire!""\n\nThe three of you unload your clips into the vent. The destroyed cover falls to the floor. And then something else: A giant, bulbous, leaky sack that explodes when it hits the ground. Blood and pus fly everywhere. \n\nYou black out.\n\nWhen you come to, Meat's helping you up. He, like you and everyone else, is covered in gore.\n\n""Everyone all right?"" Salvucci asks.\n\n""Yeah, ugh this is so nast--"" Meat is interrupted by Strauss leaning over and vomiting on the floor.\n\n""Couldn't have said it better myself, doc. What was that? A bomb?""\n\n""It's...oh god,"" Strauss spits. ""It's what left of her.""  She points at something on the ground.\n\n1. [[Look at what she's pointing at.]]"
"""I'm not crazy about this plan.""","""Everything will be fine,"" Markie says.\n\nThe groups go their separate ways; you hike down the cliff with Meat. It takes the larger portion of an hour to reach your tunnel. You step inside.\n\n""Let's get our lights on.""\n\nYou both tell your suits to turn your on your light attachments. Yours flickers for a moment before shooting a cone of light from your chest compartment.\n\nThe two of you proceed through the cave. On the Head-Up Display (HUD) of your suit, you can see the heartbeat monitors of everyone in your squad. You see that yours is going a little faster than normal and, knowing that everyone else can see that, you feel a little embarrassed.\n\nYou proceed through the cave.\n\n""You know what I want?"" Meat asks. He doesn't wait for you to answer. ""I want a fucking taco. Beef. Cheese. Some guac on top. No more of this space bag food bullshit.""\n\n1.[[""Pizza.""]]\n2.[[""Space food's not so bad.""]]"
"""Stay safe.""","The door bursts open and flies across the hanger. In steps the monster, mouth stained with blood, eyes looking about wildly.\n\nIt takes a step toward you.\n\n""Over here, motherfucker!"" Meat shouts through his suit’s comm.\n\nIt growls and moves toward Meat. Its footsteps leave imprints in the steel floor.\n\nMeat backs away from the droids until his back is pressed against the wall. He grabs onto a wall-railing.\n\nThe monster steps in front of the line of droids.\n\n""Do it, do it now.""\n\nYou take aim at the switch on the far wall. You fire.\n\nThe shot slams into the switch, and the alarms blare. Meat slowly pulls himself along the rail until he’s behind the droids.\n\nThe hanger door opens and air swooshes out. You grip the railing beside you.\n\n""Hold on!""\n\nThe beast begins to backslide toward the hanger door, its feet dragging. It tries to throw a tentacle at Meat, but they’re pulled back as well.  \n\nA moment later they snap off and go flying into the black.  Meat, clinging to the railing, kicks the droids. It takes a second for them to detach from their holders and tumble down into the behemoth. The first one knocks it back a couple of feet. The second droid seals the monster’s fate, knocking it off both of its feet and sending it careening into the stars.\n\n""Eat shit and die, you fuck!"" Meat screams through the comm. You can’t help but grin as the monster spins out of sight.\n\nThe alarms in the hanger continue to yell for a couple of seconds, and then the emergency seal protocol activates, and the hanger door slowly slides to a close again.\n\n""We did it,"" Meat says. ""We fucking did it.""\n\nHe walks over to you and hugs you tightly. You both laugh.\n\n""We’re alive!""\n\n1.[[""Come on. Let’s get out of the hanger.""]]\n\n"
