incoming,text
"""I had to choose.""","""Yes,"" he says, wiping his forehand with the back of his hand. ""I know. For what it's worth, I really appreciate it.""\n\nYou both take a breath.\n\n""What now?""\n\n1.[[""We kill it.""]]\n2.[[""I've got at least two rounds left.""]]"
"""I think so...but I couldn't tell for sure.""","""Either way, we'll burn the corpses. Travis, take care of it.""\n\n""On it,"" Meat says, leaving you two alone.\n\n""Come on, we'll head to the cockpit. See if we can figure out how to fly this thing.""\n\nIf only it were that easy. You and Salvucci discover Neil's console locked.\n\n""Did he ever tell you his password?""\n\n1. [[""He didn't.""]]\n\n"
"""Do you want to talk?""","She looks at you, tears in her eyes, and says ""I just want to sleep.""\n\nShe gets into her pod without another word. The hatch closes over her. You get in yours and close your eyes as the hatch seals. Sleep follows.\n\nWhen you awaken, you find yourself being assisted by a corporal. He takes you by the arm and guides you up from the pod. \n\nBoth you and Strauss are transported to private rooms on the biggest military outpost in New Texas. You order steak and wine but find that you don't have an appetite. Some suits interview you and, after you answer every question, you're told that you'll be allowed to leave soon.\n\n""Soon"" turns out to be three days. You and Strauss meet on the base. She seems paler and thinner.\n\n""Can we get a drink?"" she asks. ""I just want to go somewhere, anywhere but home first.""\n\n1. [[Get a drink with Strauss]]\n2. [[Opt to go home.]]\n"
"Kill yourself.","No sense in delaying the inevitable, you suppose.\n\nYou press the gun against your temple and pull the trigger. You lifeless body collapses onto the floor to join the others.\n\nYour ship drifts through space for nearly three weeks until it finally collides with an asteroid and explodes, vaporizing your corpses.\n\nThe End"
"""Don't get yourself killed.""","""Yeah, thanks,"" he says before heading out the other sickbay door. You step outside to find Salvucci loading his pistol.\n\n""Better to be safe than sorry. Do you have your pistol?""\n\nYou nod.\n\n""Good. Hopefully we won’t need it.""\n\nThe two of you walk down the hallway. Salvucci appears to be deep in thought.\n\n1.[[""It ain't your fault.""]]\n2.[[""Why the long face, cap?""]]\n"
"""Fuck. Guess the old man was right.""","He sighs. ""I know. I'll, just, god..god damn it, just give me a second to set a course for the sun.""\n\nYou watch as he presses some buttons on the console and turns to you.\n\n""So, how do you want to do thi--"" he's only begun to show fear when you shoot him in the face. He flops to the floor. You carefully step past him and look out into the darkness of space.\n\nYou realize the few loved ones you have at home will never know what happened to you. You will die a mystery.\n\nYou put the gun to your temple and pull the trigger.\n\nSeveral month later, the Speedwell tries to fly into the heart of the sun but is vaporized.\n\nThe End\n"
"""They're doing what?""","""Blowing it to smithereens. Higher-ups decided it was already a husk of a planet anyway. A fleet's heading there now; they're gonna bombard it until it's nothing but dust. Can you imagine that? Where our ancestors came from...just gone? It doesn't feel right.""\n\n1.[[""No, it doesn't.""]]\n2.[[""Nothing to be done about it, I guess.""]]"
"""I needed to ensure my survival. I had to use her as bait.""","Your confession damns you. You're court-martialed and found guilty of murder in the first degree. You're sentenced to life aboard Titan penitentiary.\n\nYou live within the walls of this fine establishment for 63 more years. You learn to live without dignity and eventually, after a decade of abuse from both your inmates and the guards, earn your own amount of respect. An inmate doesn't like the way you look at her. She attacks you. You snap her neck.\n\nNo one messes with you anymore.\n\nYou spend the rest of your days caring for the community garden and reading literature in the library. No one comes to see you, which is fine. You've made it this far without people. You thrive in loneliness. At least, that's what you tell yourself.\n\nOne morning your cellmate, Lucca, tries wake you up only to find that you're not breathing. You're cold to the touch. ""She's dead,"" she yells at a nearby guard. ""This bitch is dead!""\n\nThe End\n"
"""Yes, I’m fine.""","He gives a good natured smile, says ""Just wanted to make sure. You looked troubled.""\n\n""Stop trying to hit that, Ryan. It’s not gonna happen,"" says Markie, the Speedwell's science officer.\n\nRyan waves his hand dismissively.\n\nThe enforcer of the group, Meat, chuckles. ""She told you.""\n\n1.[[Nudge Markie and give her a wink of gratitude.]]\n2.[[Say nothing.]]\n"
"""Don't talk, okay?""","But he doesn't. ""Doctor Strauss left me here, and...and Markie chased her into the hallway. I can't believe she left me.""\n\nBefore you can say a word, something SLAMS into you, knocking you and the rifle across the floor. You look up. The rifle's light shines on Markie as she sits atop of Ben, a scalpel in her hand.  She’s giggling like a hyena. You can only see the side of her face but you know that your friend is gone. Blood and grime are dripping off her body, and her skin is peeling.\n\nAs if to remove all trace of doubt, the creature inside your friend speaks. ""Now now teacher’s pet, no one likes a suck-up!""\n\n""The hell?!"" Meat roars.\n\nThe thing slams the scalpel into Ben’s face, sinking the blade into his right eyeball.\n\n1. [[Rush her.]]\n2. [[Scream in terror.]]"
"""It's not your fault.""","He changes the subject. ""What do you think it is you found on Earth?"" Salvucci says. Your reassurance seems to have made him more focused.\n\n1.[[""Cthulhu?""]]\n2.[[""No clue.""]]\n"
